mdb.load (2) cost time: 1.180563ms
mdb.load (0) cost time: 1.206966ms
mdb.load (1) cost time: 1.228299ms
mdb.load success.
mdb.load (3) cost time: 1.340579ms
2014/09/28 14:41:33 [I] - load player_mission
2014/09/28 14:41:33 [I] - load player_mission_level_record
2014/09/28 14:41:33 [I] - load player_mission_level
2014/09/28 14:41:33 [I] - load player_mission_level_record
2014/09/28 14:41:33 [I] - load player_mission_level_state_bin
2014/09/28 14:41:33 [I] - load player_mission_level_state_bin
2014/09/28 14:41:33 [I] - load player_mission_record
2014/09/28 14:41:33 [I] - load player_mission_level_state_bin
2014/09/28 14:41:33 [I] - load player_mission_record
2014/09/28 14:41:33 [I] - load player_mission_record
2014/09/28 14:41:33 [I] - load player_mission_level_state_bin
2014/09/28 14:41:33 [I] - load player_multi_level_info
2014/09/28 14:41:33 [I] - load player_multi_level_info
2014/09/28 14:41:33 [I] - load player_mission_record
2014/09/28 14:41:33 [I] - load player_multi_level_info
2014/09/28 14:41:33 [I] - load player_npc_talk_record
2014/09/28 14:41:33 [I] - load player_npc_talk_record
2014/09/28 14:41:33 [I] - load player_npc_talk_record
2014/09/28 14:41:33 [I] - load player_physical
2014/09/28 14:41:33 [I] - load player_physical
2014/09/28 14:41:33 [I] - load player_multi_level_info
2014/09/28 14:41:33 [I] - load player_physical
2014/09/28 14:41:33 [I] - load player_purchase_record
2014/09/28 14:41:33 [I] - load player_purchase_record
2014/09/28 14:41:33 [I] - load player_npc_talk_record
2014/09/28 14:41:33 [I] - load player_purchase_record
2014/09/28 14:41:33 [I] - load player_quest
2014/09/28 14:41:33 [I] - load player_quest
2014/09/28 14:41:33 [I] - load player_quest
2014/09/28 14:41:33 [I] - load player_physical
2014/09/28 14:41:33 [I] - load player_rainbow_level
2014/09/28 14:41:33 [I] - load player_rainbow_level
2014/09/28 14:41:33 [I] - load player_rainbow_level
2014/09/28 14:41:33 [I] - load player_purchase_record
2014/09/28 14:41:33 [I] - load player_rainbow_level_state_bin
2014/09/28 14:41:33 [I] - load player_quest
2014/09/28 14:41:33 [I] - load player_rainbow_level_state_bin
2014/09/28 14:41:33 [I] - load player_rainbow_level_state_bin
2014/09/28 14:41:33 [I] - load player_role
2014/09/28 14:41:33 [I] - load player_rainbow_level
2014/09/28 14:41:33 [I] - load player_role
2014/09/28 14:41:33 [I] - load player_role
2014/09/28 14:41:33 [I] - load player_rainbow_level_state_bin
2014/09/28 14:41:33 [I] - load player_send_heart_record
2014/09/28 14:41:33 [I] - load player_send_heart_record
2014/09/28 14:41:33 [I] - load player_send_heart_record
2014/09/28 14:41:33 [I] - load player_role
2014/09/28 14:41:33 [I] - load player_skill
2014/09/28 14:41:33 [I] - load player_skill
2014/09/28 14:41:33 [I] - load player_skill
2014/09/28 14:41:33 [I] - load player_send_heart_record
2014/09/28 14:41:33 [I] - load player_state
2014/09/28 14:41:33 [I] - load player_state
2014/09/28 14:41:33 [I] - load player_skill
2014/09/28 14:41:33 [I] - load player_sword_soul
2014/09/28 14:41:33 [I] - load player_state
2014/09/28 14:41:33 [I] - load player_sword_soul
2014/09/28 14:41:33 [I] - load player_sword_soul_equipment
2014/09/28 14:41:33 [I] - load player_sword_soul_equipment
2014/09/28 14:41:33 [I] - load player_sword_soul
2014/09/28 14:41:33 [I] - load player_state
2014/09/28 14:41:33 [I] - load player_sword_soul_state
2014/09/28 14:41:33 [I] - load player_sword_soul_equipment
2014/09/28 14:41:33 [I] - load player_sword_soul_state
2014/09/28 14:41:33 [I] - load player_sword_soul
2014/09/28 14:41:33 [I] - load player_tb_xxd_roleinfo
